Date,wk_sold_avg_price_byppg,wk_base_price_perunit_byppg,Promo,TE,List_Price,Promotion_Cost,COGS,GMAC,TE Off Inv,TE On Inv,tpr_discount_byppg,median_baseprice,tpr_discount_byppg_train,flag_old_mans_day,SI,ITEM_2029_Tander_PromotedDiscount,ITEM_2028_Tander_PromotedDiscount,ITEM_2010_Tander_RegularPrice,Catalogue_Dist,Promo_flg_date_1,wk_sold_median_base_price_byppg_log,pred_vol,Predicted_Volume,Baseline_Prediction,Baseline_Sales,Baseline_GSV,Baseline_Trade_Expense,Baseline_NSV,Baseline_MAC,Baseline_RP
2022-01-02,240.15132398606318,240.15132398606318,240.15132398606318,77.9420832,276.96,0.0,120.92500007615999,0.563384604,0.05,0.2436,0.0,240.15132398606318,0.0,0,1.084767852508583,5.194513154935898,15.41521631029339,5.588230625027972,0.0,0,5.481269241258506,10.063405506905124,23468.29187003074,23468.29187003074,5635941.364279244,6499778.116323713,1829167.5574958194,4670610.558827894,1832707.3626570818,965330.8054513503
2022-01-09,240.15132398606318,240.15132398606318,240.15132398606318,77.9420832,276.96,0.0,120.92500007615999,0.563384604,0.05,0.2436,0.0,240.15132398606318,0.0,0,0.57709494783541,0.0,0.0,5.588230625027972,0.0,0,5.481269241258506,9.94592820629925,20867.08270789282,20867.08270789282,5011257.540027145,5779347.226777995,1626423.8965598634,4152923.3302181317,1629571.3521769554,858334.2098090136
2022-01-16,240.15132398606318,240.15132398606318,240.15132398606318,77.9420832,276.96,0.0,120.92500007615999,0.563384604,0.05,0.2436,0.0,240.15132398606318,0.0,0,0.602364870248981,0.0,10.41253304843165,5.588230625027972,0.0,0,5.481269241258506,9.942389092147309,20793.3622496778,20793.3622496778,4993553.474381949,5758929.608670764,1620677.9704721263,4138251.6381986374,1623814.306572727,855301.8361833114
2022-01-23,240.15132398606318,240.15132398606318,240.15132398606318,77.9420832,276.96,0.0,120.92500007615999,0.563384604,0.05,0.2436,0.0,240.15132398606318,0.0,0,0.454048384412045,8.147374701670639,0.0,5.588230625027972,0.0,0,5.481269241258506,9.904312166346424,20016.49907795475,20016.49907795475,4806988.755136646,5543769.584630348,1560127.6365066725,3983641.9481236753,1563146.7955975407,823346.807012971
2022-01-30,240.15132398606318,240.15132398606318,240.15132398606318,77.9420832,276.96,0.0,120.92500007615999,0.563384604,0.05,0.2436,0.0,240.15132398606318,0.0,0,0.505223977817316,15.8330229092941,0.0,5.588230625027972,0.0,0,5.481269241258506,9.910546279545034,20141.6739708714,20141.6739708714,4837049.671400393,5578438.022972543,1569884.028424933,4008553.9945476097,1572922.068085996,828495.6768527837
2022-02-06,168.1059267902442,240.15132398606318,168.1059267902442,137.64745824,276.96,62.84776319999999,120.92500007615999,0.563384604,0.05,0.2436,30.000000000000004,240.15132398606318,30.000000000000004,0,1.185824920289,31.62719707239044,11.96643383779588,5.588230625027972,0.7493103448275863,0,5.481269241258506,11.124625334792992,67820.87617992793,67820.87617992793,11401091.245953182,18783669.86679284,9335371.22177684,9448298.645016,1247059.1877929773,1952792.600937182
2022-02-13,168.1059267902442,240.15132398606318,168.1059267902442,137.64745824,276.96,62.84776319999999,120.92500007615999,0.563384604,0.05,0.2436,30.000000000000004,240.15132398606318,30.000000000000004,0,1.903973035394813,0.0,0.0,5.588230625027972,0.7493103448275863,0,5.481269241258506,11.36355525301196,86125.02107444558,86125.02107444558,14478126.487548988,23853185.836778447,11854890.241763867,11998295.59501458,1583627.4150279667,2479830.8925344087
2022-02-20,168.1059267902442,240.15132398606318,168.1059267902442,137.64745824,276.96,62.84776319999999,120.92500007615999,0.563384604,0.05,0.2436,30.000000000000004,240.15132398606318,30.000000000000004,0,0.824729402816766,32.17880788974422,0.0,5.588230625027972,0.7493103448275863,0,5.481269241258506,11.037822177060985,62182.08265748906,62182.08265748906,10453176.634884771,17221949.61281817,8559205.625872953,8662743.986945217,1143375.6368525662,1790432.6479395535
2022-02-27,168.1059267902442,240.15132398606318,168.1059267902442,137.64745824,276.96,62.84776319999999,120.92500007615999,0.563384604,0.05,0.2436,30.000000000000004,240.15132398606318,30.000000000000004,0,0.650152836812828,30.43280267980988,9.352684966580703,5.588230625027972,0.7493103448275863,0,5.481269241258506,10.982730671351268,58849.032435262496,58849.032435262496,9892871.138238944,16298828.0232703,8100419.7345972,8198408.2886731,1082089.0369570414,1694462.849565844
2022-03-06,168.1059267902442,240.15132398606318,168.1059267902442,137.64745824,276.96,62.84776319999999,120.92500007615999,0.563384604,0.05,0.2436,30.000000000000004,240.15132398606318,30.000000000000004,0,0.640640804095574,19.6547661963127,12.73935209345268,5.588230625027972,0.7493103448275863,0,5.481269241258506,10.9875347678088,59132.429050801875,59132.429050801875,9940511.78894341,16377317.549910085,8139428.5584000135,8237888.991510072,1087300.0040383302,1702622.7974333381
2022-03-13,240.15132398606318,240.15132398606318,240.15132398606318,77.9420832,276.96,0.0,120.92500007615999,0.563384604,0.05,0.2436,0.0,240.15132398606318,0.0,0,0.52256298887645,16.53744209665832,15.7586647463653,5.588230625027972,0.0,0,5.481269241258506,9.89879940661939,19906.456525724065,19906.456525724065,4780561.890523641,5513292.199364536,1551550.690745168,3961741.5086193685,1554553.2517301105,818820.3819042728
