Date,wk_sold_avg_price_byppg,wk_base_price_perunit_byppg,Promo,TE,List_Price,Promotion_Cost,COGS,GMAC,TE Off Inv,TE On Inv,tpr_discount_byppg,median_baseprice,tpr_discount_byppg_train,flag_old_mans_day,SI,ITEM_2029_Tander_PromotedDiscount,ITEM_2028_Tander_PromotedDiscount,ITEM_2010_Tander_RegularPrice,Catalogue_Dist,Promo_flg_date_1,wk_sold_median_base_price_byppg_log,pred_vol,Predicted_Volume,Baseline_Prediction
2022-01-02,240.15132398606318,240.15132398606318,240.15132398606318,77.9420832,276.96,0.0,120.92500007615999,0.563384604,0.05,0.2436,0.0,240.15132398606318,0.0,0,1.084767852508583,5.194513154935898,15.41521631029339,5.588230625027972,0.0,0,5.481269241258506,10.063405506905124,23468.29187003074,23468.29187003074
2022-01-09,240.15132398606318,240.15132398606318,240.15132398606318,77.9420832,276.96,0.0,120.92500007615999,0.563384604,0.05,0.2436,0.0,240.15132398606318,0.0,0,0.57709494783541,0.0,0.0,5.588230625027972,0.0,0,5.481269241258506,9.94592820629925,20867.08270789282,20867.08270789282
2022-01-16,240.15132398606318,240.15132398606318,240.15132398606318,77.9420832,276.96,0.0,120.92500007615999,0.563384604,0.05,0.2436,0.0,240.15132398606318,0.0,0,0.602364870248981,0.0,10.41253304843165,5.588230625027972,0.0,0,5.481269241258506,9.942389092147309,20793.3622496778,20793.3622496778
2022-01-23,240.15132398606318,240.15132398606318,240.15132398606318,77.9420832,276.96,0.0,120.92500007615999,0.563384604,0.05,0.2436,0.0,240.15132398606318,0.0,0,0.454048384412045,8.147374701670639,0.0,5.588230625027972,0.0,0,5.481269241258506,9.904312166346424,20016.49907795475,20016.49907795475
2022-01-30,240.15132398606318,240.15132398606318,240.15132398606318,77.9420832,276.96,0.0,120.92500007615999,0.563384604,0.05,0.2436,0.0,240.15132398606318,0.0,0,0.505223977817316,15.8330229092941,0.0,5.588230625027972,0.0,0,5.481269241258506,9.910546279545034,20141.6739708714,20141.6739708714
2022-02-06,168.1059267902442,240.15132398606318,168.1059267902442,137.64745824,276.96,62.84776319999999,120.92500007615999,0.563384604,0.05,0.2436,30.000000000000004,240.15132398606318,30.000000000000004,0,1.185824920289,31.62719707239044,11.96643383779588,5.588230625027972,0.7493103448275863,0,5.481269241258506,11.124625334792992,67820.87617992793,67820.87617992793
2022-02-13,168.1059267902442,240.15132398606318,168.1059267902442,137.64745824,276.96,62.84776319999999,120.92500007615999,0.563384604,0.05,0.2436,30.000000000000004,240.15132398606318,30.000000000000004,0,1.903973035394813,0.0,0.0,5.588230625027972,0.7493103448275863,0,5.481269241258506,11.36355525301196,86125.02107444558,86125.02107444558
2022-02-20,168.1059267902442,240.15132398606318,168.1059267902442,137.64745824,276.96,62.84776319999999,120.92500007615999,0.563384604,0.05,0.2436,30.000000000000004,240.15132398606318,30.000000000000004,0,0.824729402816766,32.17880788974422,0.0,5.588230625027972,0.7493103448275863,0,5.481269241258506,11.037822177060985,62182.08265748906,62182.08265748906
2022-02-27,168.1059267902442,240.15132398606318,168.1059267902442,137.64745824,276.96,62.84776319999999,120.92500007615999,0.563384604,0.05,0.2436,30.000000000000004,240.15132398606318,30.000000000000004,0,0.650152836812828,30.43280267980988,9.352684966580703,5.588230625027972,0.7493103448275863,0,5.481269241258506,10.982730671351268,58849.032435262496,58849.032435262496
2022-03-06,168.1059267902442,240.15132398606318,168.1059267902442,137.64745824,276.96,62.84776319999999,120.92500007615999,0.563384604,0.05,0.2436,30.000000000000004,240.15132398606318,30.000000000000004,0,0.640640804095574,19.6547661963127,12.73935209345268,5.588230625027972,0.7493103448275863,0,5.481269241258506,10.9875347678088,59132.429050801875,59132.429050801875
2022-03-13,240.15132398606318,240.15132398606318,240.15132398606318,77.9420832,276.96,0.0,120.92500007615999,0.563384604,0.05,0.2436,0.0,240.15132398606318,0.0,0,0.52256298887645,16.53744209665832,15.7586647463653,5.588230625027972,0.0,0,5.481269241258506,9.89879940661939,19906.456525724065,19906.456525724065
2022-03-20,240.15132398606318,240.15132398606318,240.15132398606318,77.9420832,276.96,0.0,120.92500007615999,0.563384604,0.05,0.2436,0.0,240.15132398606318,0.0,0,0.657093863558997,13.85827582655268,15.89658668062437,5.588230625027972,0.0,0,5.481269241258506,9.937933048868889,20700.912261140715,20700.912261140715
2022-03-27,240.15132398606318,240.15132398606318,240.15132398606318,77.9420832,276.96,0.0,120.92500007615999,0.563384604,0.05,0.2436,0.0,240.15132398606318,0.0,0,1.079453085940387,21.10975910627156,0.0,5.588230625027972,0.0,0,5.481269241258506,10.061459860757532,23422.675269634954,23422.675269634954
2022-04-03,240.15132398606318,240.15132398606318,240.15132398606318,77.9420832,276.96,0.0,120.92500007615999,0.563384604,0.05,0.2436,0.0,240.15132398606318,0.0,0,1.982096451808331,7.206774572784147,0.0,5.588230625027972,0.0,0,5.481269241258506,10.3208818408071,30360.018498278772,30360.018498278772
2022-04-10,240.15132398606318,240.15132398606318,240.15132398606318,77.9420832,276.96,0.0,120.92500007615999,0.563384604,0.05,0.2436,0.0,240.15132398606318,0.0,0,6.61620992739554,7.78610516297883,16.58761164766538,5.588230625027972,0.0,0,5.481269241258506,11.56419376392896,105260.52682984891,105260.52682984891
2022-04-17,240.15132398606318,240.15132398606318,240.15132398606318,77.9420832,276.96,0.0,120.92500007615999,0.563384604,0.05,0.2436,0.0,240.15132398606318,0.0,0,0.806649516948754,19.77667529837491,11.69403734189921,5.588230625027972,0.0,0,5.481269241258506,9.976896336457806,21523.40736308193,21523.40736308193
