Date,wk_sold_avg_price_byppg,wk_base_price_perunit_byppg,Promo,TE,List_Price,Promotion_Cost,COGS,tpr_discount_byppg,median_baseprice,flag_promo_under1,flag_promo_under2,flag_children_protection_day,trend_year,tpr_discount_byppg_train,Catalogue_Dist,ACV_Selling,SI,ITEM5006_Lenta_PromotedDiscount,ITEM5006_Lenta_RegularPrice,flag_christmas_day_new,QC,wk_sold_median_base_price_byppg_log,Baseline_Prediction,Baseline_Sales,Baseline_GSV,Baseline_Trade_Expense,Baseline_NSV,Baseline_MAC,Baseline_RP
2021-01-03,21.047170814572084,28.062894419429448,21.047170814572084,9.855248200000002,20.44,3.7139480000000002,4.900833333333335,25.000000000000007,28.062894419429448,0,0,0,3,25.000000000000007,0.8031578947368422,99.59839357429718,0.8894209204753637,0.0,3.2961429861401768,0,25,3.3344482204390498,180269.90571133042,3794171.498233175,3684716.872739594,1776604.663775759,1908112.208963835,1024639.4460568895,1886059.28926934
2021-01-10,28.062894419429448,28.062894419429448,28.062894419429448,6.3269976,20.44,0.0,4.900833333333335,0.0,28.062894419429448,0,0,0,3,0.0,0.0,99.59839357429718,0.90807011128781,0.0,3.2961429861401768,0,0,3.3344482204390498,101725.77636645295,2854719.7219062606,2079274.8689302984,643618.7429286846,1435656.1260016137,937115.0503256887,1419063.595904647
2021-01-17,28.062894419429448,28.062894419429448,28.062894419429448,6.3269976,20.44,0.0,4.900833333333335,0.0,28.062894419429448,0,0,0,3,0.0,0.0,99.59839357429718,0.9250428138470844,8.617554320508923,3.2961429861401768,0,0,3.3344482204390498,96506.70950542962,2708257.5996174198,1972597.1422909817,610597.7194247504,1361999.4228662313,889036.1240317049,1346258.1767511885
2021-01-24,28.062894419429448,28.062894419429448,28.062894419429448,6.3269976,20.44,0.0,4.900833333333335,0.0,28.062894419429448,0,0,0,3,0.0,0.0,99.59839357429718,0.9316447159332168,10.20504963623824,3.2961429861401768,0,0,3.3344482204390498,95724.81120645924,2686315.2702066824,1956615.141060027,605650.6507637207,1350964.4902963063,881833.1447086505,1335350.779910376
2021-01-31,28.062894419429448,28.062894419429448,28.062894419429448,6.3269976,20.44,0.0,4.900833333333335,0.0,28.062894419429448,0,0,0,3,0.0,0.0,100.0,0.9589244296226834,8.43472925788059,3.2961429861401768,0,0,3.3344482204390498,98394.4267381995,2761232.409014378,2011182.082528798,622541.3018259641,1388640.7807028338,906426.094330041,1372591.6283115444
2021-02-07,28.062894419429448,28.062894419429448,28.062894419429448,6.3269976,20.44,0.0,4.900833333333335,0.0,28.062894419429448,0,0,0,3,0.0,0.0,100.0,1.087281111079866,0.0,3.2961429861401768,0,0,3.3344482204390498,110599.56232004092,3103743.8402224155,2260655.0538216364,699763.1653599493,1560891.8884616871,1018861.8667915531,1542851.9517607284
2021-02-14,28.062894419429448,28.062894419429448,28.062894419429448,6.3269976,20.44,0.0,4.900833333333335,0.0,28.062894419429448,0,0,0,3,0.0,0.0,99.59839357429718,1.11344768462058,0.0,3.2961429861401768,0,0,3.3344482204390498,111598.32171566418,3131771.9196922043,2281069.695868176,706082.3136590351,1574987.3822091408,1028062.6072009564,1556784.5374830635
2021-02-21,28.062894419429448,28.062894419429448,28.062894419429448,6.3269976,20.44,0.0,4.900833333333335,0.0,28.062894419429448,0,0,0,3,0.0,0.0,99.59839357429718,1.042442292082865,0.0,3.2961429861401768,0,0,3.3344482204390498,108081.17653908247,3033070.6459439863,2209179.248458846,683829.3445679512,1525349.9038908947,995662.0712022745,1507720.7420530915
2021-02-28,28.062894419429448,28.062894419429448,28.062894419429448,6.3269976,20.44,0.0,4.900833333333335,0.0,28.062894419429448,0,0,0,3,0.0,0.0,99.59839357429718,1.167685124487037,11.62210073744755,3.2961429861401768,0,0,3.3344482204390498,105426.32752302005,2958567.8983067004,2154914.13457053,667032.1212149619,1487882.0133555683,971205.153219834,1470685.8849511321
2021-03-07,28.062894419429448,28.062894419429448,28.062894419429448,6.3269976,20.44,0.0,4.900833333333335,0.0,28.062894419429448,0,0,0,3,0.0,0.0,99.59839357429718,1.087883126802164,12.15099707312694,3.2961429861401768,0,0,3.3344482204390498,101323.60616684324,2843433.662055972,2071054.5100502758,641074.2130409623,1429980.2970093135,933410.1904533091,1413453.3650466586
