,wk_base_price_perunit_byppg,Promo,TE,List_Price,COGS,tpr_discount_byppg,flag_promo_under1,flag_promo_under2,flag_children_protection_day,trend_year,Catalogue_Dist,ACV_Selling,SI,ITEM5006_Lenta_PromotedDiscount,ITEM5006_Lenta_RegularPrice,flag_christmas_day_new,wk_sold_median_base_price_byppg_log,pred_vol,Predicted_Volume,Units,Promo Price,Sales,GSV,Trade_Expense,NSV,MAC,RP,TPR,Iteration
0,28.062894419429448,28.062894419429448,6.3269976,20.44,4.900833333333335,0.0,0,0,0,3,0.0,99.59839357429718,0.8894209204753637,0.0,3.2961429861401768,0,3.3344482204390498,11.521625219796672,100873.77076737814,100873.77076737814,28.062894419429448,2830809.9787346614,2061859.8744852094,638228.1055481517,1423631.7689370578,929266.2307012654,1407178.2097976035,0.0,0
1,28.062894419429448,28.062894419429448,6.3269976,20.44,4.900833333333335,0.0,0,0,0,3,0.0,99.59839357429718,0.90807011128781,0.0,3.2961429861401768,0,3.3344482204390498,11.530036004853084,101725.77636645295,101725.77636645295,28.062894419429448,2854719.7219062606,2079274.8689302984,643618.7429286846,1435656.1260016137,937115.0503256887,1419063.595904647,0.0,0
2,28.062894419429448,28.062894419429448,6.3269976,20.44,4.900833333333335,0.0,0,0,0,3,0.0,99.59839357429718,0.9250428138470844,8.617554320508923,3.2961429861401768,0,3.3344482204390498,11.477367813463754,96506.70950542962,96506.70950542962,28.062894419429448,2708257.5996174198,1972597.1422909817,610597.7194247504,1361999.4228662313,889036.1240317049,1346258.1767511885,0.0,0
3,28.062894419429448,28.062894419429448,6.3269976,20.44,4.900833333333335,0.0,0,0,0,3,0.0,99.59839357429718,0.9316447159332168,10.20504963623824,3.2961429861401768,0,3.3344482204390498,11.469232804094496,95724.81120645924,95724.81120645924,28.062894419429448,2686315.2702066824,1956615.141060027,605650.6507637207,1350964.4902963063,881833.1447086505,1335350.779910376,0.0,0
4,28.062894419429448,28.062894419429448,6.3269976,20.44,4.900833333333335,0.0,0,0,0,3,0.0,100.0,0.9589244296226834,8.43472925788059,3.2961429861401768,0,3.3344482204390498,11.49673944259687,98394.4267381995,98394.4267381995,28.062894419429448,2761232.409014378,2011182.082528798,622541.3018259641,1388640.7807028338,906426.094330041,1372591.6283115444,0.0,0
5,28.062894419429448,28.062894419429448,6.3269976,20.44,4.900833333333335,0.0,0,0,0,3,0.0,100.0,1.087281111079866,0.0,3.2961429861401768,0,3.3344482204390498,11.613671410739222,110599.56232004092,110599.56232004092,28.062894419429448,3103743.8402224155,2260655.0538216364,699763.1653599493,1560891.8884616871,1018861.8667915531,1542851.9517607284,0.0,0
6,28.062894419429448,28.062894419429448,6.3269976,20.44,4.900833333333335,0.0,0,0,0,3,0.0,99.59839357429718,1.11344768462058,0.0,3.2961429861401768,0,3.3344482204390498,11.622661290426164,111598.32171566418,111598.32171566418,28.062894419429448,3131771.9196922043,2281069.695868176,706082.3136590351,1574987.3822091408,1028062.6072009564,1556784.5374830635,0.0,0
7,28.062894419429448,28.062894419429448,6.3269976,20.44,4.900833333333335,0.0,0,0,0,3,0.0,99.59839357429718,1.042442292082865,0.0,3.2961429861401768,0,3.3344482204390498,11.590637858391656,108081.17653908247,108081.17653908247,28.062894419429448,3033070.6459439863,2209179.248458846,683829.3445679512,1525349.9038908947,995662.0712022745,1507720.7420530915,0.0,0
8,28.062894419429448,28.062894419429448,6.3269976,20.44,4.900833333333335,0.0,0,0,0,3,0.0,99.59839357429718,1.167685124487037,11.62210073744755,3.2961429861401768,0,3.3344482204390498,11.565767670643805,105426.32752302005,105426.32752302005,28.062894419429448,2958567.8983067004,2154914.13457053,667032.1212149619,1487882.0133555683,971205.153219834,1470685.8849511321,0.0,0
9,28.062894419429448,28.062894419429448,6.3269976,20.44,4.900833333333335,0.0,0,0,0,3,0.0,99.59839357429718,1.087883126802164,12.15099707312694,3.2961429861401768,0,3.3344482204390498,11.52607469533817,101323.60616684324,101323.60616684324,28.062894419429448,2843433.662055972,2071054.5100502758,641074.2130409623,1429980.2970093135,933410.1904533091,1413453.3650466586,0.0,0
10,28.062894419429448,28.062894419429448,6.3269976,20.44,4.900833333333335,0.0,0,0,0,3,0.0,99.59839357429718,1.035138275200285,6.837077281354665,3.2961429861401768,0,3.3344482204390498,11.539484205808128,102691.45673121746,102691.45673121746,28.062894419429448,2881819.5080255633,2099013.375586085,649728.6002789168,1449284.7753071683,946011.0611102598,1432534.732718395,0.0,0
11,28.062894419429448,28.062894419429448,6.3269976,20.44,4.900833333333335,0.0,0,0,0,3,0.0,100.0,0.9580206543220418,0.0,3.2961429861401768,0,3.3344482204390498,11.555374944741443,104336.33440873213,104336.33440873213,28.062894419429448,2927979.5366225336,2132634.675314485,660135.7373968456,1472498.9379176395,961163.9523695114,1455480.598704894,0.0,0
12,28.062894419429448,28.062894419429448,6.3269976,20.44,4.900833333333335,0.0,0,0,0,3,0.0,99.59839357429718,0.8376264713828472,0.0,3.2961429861401768,0,3.3344482204390498,11.498265923255946,98544.73862248109,98544.73862248109,28.062894419429448,2765450.595552958,2014254.4574435137,623492.3247570652,1390762.1326864485,907810.7928207724,1374688.4628665096,0.0,0
13,28.062894419429448,28.062894419429448,6.3269976,20.44,4.900833333333335,0.0,0,0,0,3,0.0,98.79518072289156,0.9221955899076488,8.277770562649456,3.2961429861401768,0,3.3344482204390498,11.472839711812247,96070.70519562923,96070.70519562923,28.062894419429448,2696022.056705075,1963685.2141986615,607839.1212030536,1355846.0929956078,885019.5786160281,1340175.963709467,0.0,0
