,Date,wk_sold_avg_price_byppg,wk_base_price_perunit_byppg,Promo,TE,List_Price,Promotion_Cost,COGS,tpr_discount_byppg,median_baseprice,flag_promo_under1,flag_promo_under2,flag_children_protection_day,trend_year,tpr_discount_byppg_train,Catalogue_Dist,ACV_Selling,SI,ITEM5006_Lenta_PromotedDiscount,ITEM5006_Lenta_RegularPrice,flag_christmas_day_new,QC,wk_sold_median_base_price_byppg_log,Units,Promo Price,Sales,GSV,Trade_Expense,NSV,MAC,RP
0,2021-01-03,28.062894419429448,28.062894419429448,21.047170814572084,6.3269976,20.44,3.7139480000000002,4.900833333333335,0.0,28.062894419429448,0,0,0,3,25.000000000000007,0.0,99.59839357429718,0.8894209204753637,0.0,3.2961429861401768,0,25,3.3344482204390498,100873.77076737814,28.062894419429448,2830809.9787346614,2061859.8744852094,638228.1055481517,1423631.7689370578,929266.2307012654,1407178.2097976035
1,2021-01-10,28.062894419429448,28.062894419429448,28.062894419429448,6.3269976,20.44,0.0,4.900833333333335,0.0,28.062894419429448,0,0,0,3,0.0,0.0,99.59839357429718,0.90807011128781,0.0,3.2961429861401768,0,0,3.3344482204390498,101725.77636645295,28.062894419429448,2854719.7219062606,2079274.8689302984,643618.7429286846,1435656.1260016137,937115.0503256887,1419063.595904647
2,2021-01-17,28.062894419429448,28.062894419429448,28.062894419429448,6.3269976,20.44,0.0,4.900833333333335,0.0,28.062894419429448,0,0,0,3,0.0,0.0,99.59839357429718,0.9250428138470844,8.617554320508923,3.2961429861401768,0,0,3.3344482204390498,96506.70950542962,28.062894419429448,2708257.5996174198,1972597.1422909817,610597.7194247504,1361999.4228662313,889036.1240317049,1346258.1767511885
3,2021-01-24,28.062894419429448,28.062894419429448,28.062894419429448,6.3269976,20.44,0.0,4.900833333333335,0.0,28.062894419429448,0,0,0,3,0.0,0.0,99.59839357429718,0.9316447159332168,10.20504963623824,3.2961429861401768,0,0,3.3344482204390498,95724.81120645924,28.062894419429448,2686315.2702066824,1956615.141060027,605650.6507637207,1350964.4902963063,881833.1447086505,1335350.779910376
4,2021-01-31,28.062894419429448,28.062894419429448,28.062894419429448,6.3269976,20.44,0.0,4.900833333333335,0.0,28.062894419429448,0,0,0,3,0.0,0.0,100.0,0.9589244296226834,8.43472925788059,3.2961429861401768,0,0,3.3344482204390498,98394.4267381995,28.062894419429448,2761232.409014378,2011182.082528798,622541.3018259641,1388640.7807028338,906426.094330041,1372591.6283115444
5,2021-02-07,21.047170814572084,28.062894419429448,28.062894419429448,9.855248200000002,20.44,0.0,4.900833333333335,25.000000000000007,28.062894419429448,0,0,0,3,0.0,0.803,100.0,1.087281111079866,0.0,3.2961429861401768,0,0,3.3344482204390498,197640.97590515696,21.047170814572084,4159783.379834564,4039781.5475014085,1947800.8720355418,2091980.6754658667,1123375.192717343,2067802.7043686972
6,2021-02-14,21.047170814572084,28.062894419429448,28.062894419429448,9.855248200000002,20.44,0.0,4.900833333333335,25.000000000000007,28.062894419429448,0,0,0,3,0.0,0.803,99.59839357429718,1.11344768462058,0.0,3.2961429861401768,0,0,3.3344482204390498,199425.75495404922,21.047170814572084,4197347.929342869,4076262.4312607665,1965390.312544535,2110872.1187162315,1133519.731312262,2086475.8106266372
7,2021-02-21,21.047170814572084,28.062894419429448,28.062894419429448,9.855248200000002,20.44,0.0,4.900833333333335,25.000000000000007,28.062894419429448,0,0,0,3,0.0,0.803,99.59839357429718,1.042442292082865,0.0,3.2961429861401768,0,0,3.3344482204390498,193140.6305781655,21.047170814572084,4065063.8430128135,3947794.489017703,1903448.8518523308,2044345.6371653723,1097795.5968068792,2020718.2058474412
8,2021-02-28,21.047170814572084,28.062894419429448,28.062894419429448,9.855248200000002,20.44,0.0,4.900833333333335,25.000000000000007,28.062894419429448,0,0,0,3,0.0,0.803,99.59839357429718,1.167685124487037,11.62210073744755,3.2961429861401768,0,0,3.3344482204390498,188396.42599535635,21.047170814572084,3965211.7587791537,3850822.947345084,1856693.5381771692,1994129.409167915,1070829.9247690057,1971082.3496112388
9,2021-03-07,28.062894419429448,28.062894419429448,28.062894419429448,6.3269976,20.44,0.0,4.900833333333335,0.0,28.062894419429448,0,0,0,3,0.0,0.0,99.59839357429718,1.087883126802164,12.15099707312694,3.2961429861401768,0,0,3.3344482204390498,101323.60616684324,28.062894419429448,2843433.662055972,2071054.5100502758,641074.2130409623,1429980.2970093135,933410.1904533091,1413453.3650466586
10,2021-03-14,28.062894419429448,28.062894419429448,21.047170814572084,6.3269976,20.44,3.7139480000000002,4.900833333333335,0.0,28.062894419429448,0,0,0,3,25.000000000000007,0.0,99.59839357429718,1.035138275200285,6.837077281354665,3.2961429861401768,0,-2,3.3344482204390498,102691.45673121746,28.062894419429448,2881819.5080255633,2099013.375586085,649728.6002789168,1449284.7753071683,946011.0611102598,1432534.732718395
11,2021-03-21,28.062894419429448,28.062894419429448,21.047170814572084,6.3269976,20.44,3.7139480000000002,4.900833333333335,0.0,28.062894419429448,0,0,0,3,25.000000000000007,0.0,100.0,0.9580206543220418,0.0,3.2961429861401768,0,-9,3.3344482204390498,104336.33440873213,28.062894419429448,2927979.5366225336,2132634.675314485,660135.7373968456,1472498.9379176395,961163.9523695114,1455480.598704894
